Tier,Topic,Model,Dataset,Accuracy,ROC AUC,Positive Samples,Positive Ratio,Precision,Recall,F1 Score
tier 1,organized crime,Decision Tree,Train,0.9973568281938326,0.9835899208038161,343,0.06044052863436123,0.9880952380952381,0.967930029154519,0.9779086892488954
tier 1,organized crime,Decision Tree,Validation,0.9726171669299631,0.9039907863724018,104,0.05476566614007372,0.7166666666666667,0.8269230769230769,0.7678571428571429
tier 1,obstruction of justice,Decision Tree,Train,0.9998237885462555,0.9972067039106145,179,0.03154185022026432,1.0,0.994413407821229,0.9971988795518207
tier 1,obstruction of justice,Decision Tree,Validation,0.9868351764086362,0.8912080690325161,57,0.030015797788309637,0.7758620689655172,0.7894736842105263,0.782608695652174
tier 1,theft crimes,Decision Tree,Train,0.9996475770925111,0.9992952783650457,1419,0.2500440528634361,1.0,0.9985905567300916,0.9992947813822285
tier 1,theft crimes,Decision Tree,Validation,0.9557661927330173,0.940510309688719,477,0.25118483412322273,0.9136842105263158,0.909853249475891,0.9117647058823529
tier 1,weapons crimes,Decision Tree,Train,0.9989427312775331,0.990201699708742,208,0.03665198237885463,0.9902912621359223,0.9807692307692307,0.9855072463768116
tier 1,weapons crimes,Decision Tree,Validation,0.9768299104791995,0.8910418695228822,79,0.04160084254870985,0.6923076923076923,0.7974683544303798,0.7411764705882353
tier 1,sex crimes,Decision Tree,Train,0.9987665198237885,0.9901999431777826,260,0.04581497797356828,0.9922178988326849,0.9807692307692307,0.9864603481624759
tier 1,sex crimes,Decision Tree,Validation,0.9768299104791995,0.8510790134733958,87,0.045813586097946286,0.7654320987654321,0.7126436781609196,0.7380952380952381
tier 1,providing or possessing contraband in prison,Decision Tree,Train,1.0,1.0,15,0.0026431718061674008,1.0,1.0,1.0
tier 1,providing or possessing contraband in prison,Decision Tree,Validation,0.9989468141126909,0.9994722955145119,4,0.00210637177461822,0.6666666666666666,1.0,0.8
tier 1,kidnapping,Decision Tree,Train,0.9998237885462555,0.9972375690607735,181,0.0318942731277533,1.0,0.994475138121547,0.997229916897507
tier 1,kidnapping,Decision Tree,Validation,0.985781990521327,0.881709448973403,61,0.032122169562927856,0.7833333333333333,0.7704918032786885,0.7768595041322314
tier 1,identity crimes,Decision Tree,Train,0.9998237885462555,0.9971751412429379,177,0.03118942731277533,1.0,0.9943502824858758,0.9971671388101983
tier 1,identity crimes,Decision Tree,Validation,0.9842022116903634,0.8650439715299952,61,0.032122169562927856,0.7627118644067796,0.7377049180327869,0.75
tier 1,fraudulent/counterfeit goods,Decision Tree,Train,1.0,1.0,30,0.0052863436123348016,1.0,1.0,1.0
tier 1,fraudulent/counterfeit goods,Decision Tree,Validation,0.9947340705634544,0.7492042440318302,14,0.00737230121116377,0.7,0.5,0.5833333333333334
tier 1,criminal harassment,Decision Tree,Train,0.9998237885462555,0.9976190476190476,210,0.03700440528634361,1.0,0.9952380952380953,0.9976133651551312
tier 1,criminal harassment,Decision Tree,Validation,0.9947340705634544,0.9839217296113849,72,0.037914691943127965,0.8974358974358975,0.9722222222222222,0.9333333333333333
tier 1,forgery (non-financial/identity),Decision Tree,Train,1.0,1.0,3,0.0005286343612334801,1.0,1.0,1.0
tier 1,forgery (non-financial/identity),Decision Tree,Validation,0.9989468141126909,0.9994731296101159,1,0.000526592943654555,0.3333333333333333,1.0,0.5
tier 1,crimes against the government,Decision Tree,Train,1.0,1.0,8,0.0014096916299559472,1.0,1.0,1.0
tier 1,crimes against the government,Decision Tree,Validation,0.9947340705634544,0.6103174603174604,9,0.004739336492890996,0.4,0.2222222222222222,0.2857142857142857
tier 1,drug crimes,Decision Tree,Train,0.9996475770925111,0.9984152139461173,631,0.11118942731277533,1.0,0.9968304278922345,0.9984126984126984
tier 1,drug crimes,Decision Tree,Validation,0.9778830963665087,0.9555539635814209,230,0.12111637704054766,0.8949579831932774,0.9260869565217391,0.9102564102564102
tier 1,disorderly conduct,Decision Tree,Train,1.0,1.0,289,0.05092511013215859,1.0,1.0,1.0
tier 1,disorderly conduct,Decision Tree,Validation,0.9968404423380727,0.9852735901730876,108,0.05687203791469194,0.9722222222222222,0.9722222222222222,0.9722222222222222
tier 1,financial crimes,XGBoost,Train,0.9899559471365639,0.9812999211217558,1319,0.23242290748898678,0.9914330218068536,0.9651250947687642,0.9781021897810219
tier 1,financial crimes,XGBoost,Validation,0.957345971563981,0.9418251707461599,446,0.23486045286993154,0.9064587973273942,0.9125560538116592,0.9094972067039107
tier 1,contempt of court,XGBoost,Train,0.9998237885462555,0.9938271604938271,81,0.014273127753303964,1.0,0.9876543209876543,0.9937888198757764
tier 1,contempt of court,XGBoost,Validation,0.9968404423380727,0.90625,32,0.01685097419694576,1.0,0.8125,0.896551724137931
tier 1,environmental crimes,XGBoost,Train,0.9998237885462555,0.9972222222222222,180,0.03171806167400881,1.0,0.9944444444444445,0.9972144846796658
tier 1,environmental crimes,XGBoost,Validation,0.9963138493944181,0.9439050701186623,45,0.023696682464454975,0.9523809523809523,0.8888888888888888,0.9195402298850575
tier 1,criminal threats,XGBoost,Train,0.997885462555066,0.9743210284437286,158,0.027841409691629956,0.974025974025974,0.9493670886075949,0.9615384615384616
tier 1,criminal threats,XGBoost,Validation,0.9884149552395998,0.8614991684485627,69,0.036334913112164295,0.9433962264150944,0.7246376811594203,0.819672131147541
tier 1,traffic crimes,XGBoost,Train,0.9996475770925111,0.9957081545064378,233,0.04105726872246696,1.0,0.9914163090128756,0.9956896551724138
tier 1,traffic crimes,XGBoost,Validation,0.9915745129015271,0.9307236279183473,81,0.04265402843601896,0.9333333333333333,0.8641975308641975,0.8974358974358975
tier 1,civil rights violation,XGBoost,Train,1.0,1.0,10,0.001762114537444934,1.0,1.0,1.0
tier 1,civil rights violation,XGBoost,Validation,0.9973670352817272,0.5,5,0.0026329647182727752,1.0,0.0,0.0
tier 1,violent crimes,XGBoost,Train,0.9901321585903083,0.9760541300223972,1106,0.1948898678414097,0.996219281663516,0.9529837251356239,0.9741219963031423
tier 1,violent crimes,XGBoost,Validation,0.9736703528172722,0.9473225323467674,358,0.1885202738283307,0.9529411764705882,0.9050279329608939,0.9283667621776505
tier 1,criminal tresspassing,XGBoost,Train,0.9994713656387665,0.9948453608247423,291,0.05127753303964758,1.0,0.9896907216494846,0.9948186528497409
tier 1,criminal tresspassing,XGBoost,Validation,0.9884149552395998,0.9327153216875648,93,0.04897314375987362,0.8901098901098901,0.8709677419354839,0.8804347826086957
tier 1,crimes against animals,XGBoost,Train,0.9994713656387665,0.9963592233009708,412,0.07259911894273127,1.0,0.9927184466019418,0.9963459196102314
tier 1,crimes against animals,XGBoost,Validation,0.995260663507109,0.9643218147043375,113,0.05950500263296472,0.9905660377358491,0.9292035398230089,0.958904109589041
tier 1,making false statements,XGBoost,Train,1.0,1.0,9,0.0015859030837004405,1.0,1.0,1.0
tier 1,making false statements,XGBoost,Validation,0.9978936282253817,0.6247361477572559,4,0.00210637177461822,0.5,0.25,0.3333333333333333
tier 1,immigration offenses,XGBoost,Train,0.9996475770925111,0.9333333333333333,15,0.0026431718061674008,1.0,0.8666666666666667,0.9285714285714286
tier 1,immigration offenses,XGBoost,Validation,0.9957872564507636,0.4997357293868922,7,0.003686150605581885,0.0,0.0,0.0
tier 1,corruption,XGBoost,Train,0.9996475770925111,0.9998169503935567,212,0.0373568281938326,0.9906542056074766,1.0,0.9953051643192489
tier 1,corruption,XGBoost,Validation,0.9926276987888363,0.9244502473886752,80,0.042127435492364404,0.9714285714285714,0.85,0.9066666666666666
tier 1,record falsification,XGBoost,Train,1.0,1.0,14,0.0024669603524229075,1.0,1.0,1.0
tier 1,record falsification,XGBoost,Validation,0.9984202211690363,0.5,3,0.001579778830963665,1.0,0.0,0.0
tier 1,property damage,XGBoost,Train,0.9987665198237885,0.9906186512839735,323,0.05691629955947137,0.9968553459119497,0.9814241486068112,0.9890795631825273
tier 1,property damage,XGBoost,Validation,0.985781990521327,0.912565829232496,117,0.061611374407582936,0.9326923076923077,0.8290598290598291,0.8778280542986425
tier 1,human trafficking,XGBoost,Train,0.999295154185022,0.987198158987138,118,0.02079295154185022,0.9913793103448276,0.9745762711864406,0.9829059829059829
tier 1,human trafficking,XGBoost,Validation,0.9910479199578726,0.818370907139023,36,0.018957345971563982,0.8518518518518519,0.6388888888888888,0.7301587301587301
tier 1,smuggling of goods,XGBoost,Train,1.0,1.0,26,0.0045814977973568285,1.0,1.0,1.0
tier 1,smuggling of goods,XGBoost,Validation,0.9978936282253817,0.7777777777777778,9,0.004739336492890996,1.0,0.5555555555555556,0.7142857142857143
tier 1,crimes against children,XGBoost,Train,0.9989427312775331,0.9945479846926096,380,0.06696035242290749,0.9947089947089947,0.9894736842105263,0.9920844327176781
tier 1,crimes against children,XGBoost,Validation,0.9805160610847815,0.9126788111217642,149,0.0784623486045287,0.9117647058823529,0.8322147651006712,0.8701754385964913
tier 1,cybercrime,XGBoost,Train,0.9980616740088105,0.9743943868648692,177,0.03118942731277533,0.9882352941176471,0.9491525423728814,0.968299711815562
tier 1,cybercrime,XGBoost,Validation,0.9847288046340179,0.8288608338226658,65,0.034228541337546076,0.86,0.6615384615384615,0.7478260869565218
tier 1,election crimes,XGBoost,Train,1.0,1.0,20,0.003524229074889868,1.0,1.0,1.0
tier 1,election crimes,XGBoost,Validation,0.9989468141126909,0.75,4,0.00210637177461822,1.0,0.5,0.6666666666666666
tier 1,perjury,XGBoost,Train,0.9998237885462555,0.9166666666666667,6,0.0010572687224669603,1.0,0.8333333333333334,0.9090909090909091
tier 1,perjury,XGBoost,Validation,0.9994734070563455,0.5,1,0.000526592943654555,1.0,0.0,0.0
tier 1,organized crime,XGBoost,Train,0.9957709251101322,0.9731982922844414,343,0.06044052863436123,0.9818731117824774,0.9475218658892128,0.9643916913946587
tier 1,organized crime,XGBoost,Validation,0.9805160610847815,0.9081690593529033,104,0.05476566614007372,0.819047619047619,0.8269230769230769,0.8229665071770335
tier 1,obstruction of justice,XGBoost,Train,0.9980616740088105,0.9692737430167597,179,0.03154185022026432,1.0,0.9385474860335196,0.968299711815562
tier 1,obstruction of justice,XGBoost,Validation,0.9884149552395998,0.8325190010857763,57,0.030015797788309637,0.926829268292683,0.6666666666666666,0.7755102040816326
tier 1,theft crimes,XGBoost,Train,0.9936563876651983,0.988724288257642,1419,0.2500440528634361,0.9956989247311828,0.9788583509513742,0.9872068230277186
tier 1,theft crimes,XGBoost,Validation,0.9631384939441812,0.951702359153995,477,0.25118483412322273,0.9248434237995825,0.9287211740041929,0.9267782426778243
tier 1,weapons crimes,XGBoost,Train,0.998590308370044,0.9853940074010498,208,0.03665198237885463,0.9901960784313726,0.9711538461538461,0.9805825242718447
tier 1,weapons crimes,XGBoost,Validation,0.9831490258030542,0.8822297955209348,79,0.04160084254870985,0.8133333333333334,0.7721518987341772,0.7922077922077922
tier 1,sex crimes,XGBoost,Train,0.9968281938325991,0.9763690603025784,260,0.04581497797356828,0.9763779527559056,0.9538461538461539,0.9649805447470817
tier 1,sex crimes,XGBoost,Validation,0.9826224328593997,0.8759990865494405,87,0.045813586097946286,0.8461538461538461,0.7586206896551724,0.8
tier 1,providing or possessing contraband in prison,XGBoost,Train,1.0,1.0,15,0.0026431718061674008,1.0,1.0,1.0
tier 1,providing or possessing contraband in prison,XGBoost,Validation,0.9989468141126909,0.75,4,0.00210637177461822,1.0,0.5,0.6666666666666666
tier 1,kidnapping,XGBoost,Train,0.9991189427312775,0.9888592678703236,181,0.0318942731277533,0.9943820224719101,0.9779005524861878,0.9860724233983287
tier 1,kidnapping,XGBoost,Validation,0.9921011058451816,0.9166726127829607,61,0.032122169562927856,0.9107142857142857,0.8360655737704918,0.8717948717948718
